pmcid,figure_name,figure_caption,entities
PMC8719639,gr1_lrg.jpg,"Success rates of first-in-human (FIH) studies to approval, Pfizer versus industry, 2016âQ3 2021. (a) Cumulative success rates of FIH (defined as Phase I) through Approval. Cumulative FIH to Approval success rate was calculated as the product of Phase I, Phase II, Phase III, and Approval success rates. For both Pfizer success rate and industry benchmarks, a 3-year rolling cohort was used for Phase I and 5-year rolling cohorts for subsequent phases (e.g., 5-year rolling cohort of 2019 represents the 2015â2019 5-year rolling average). The success rate of a specific phase was defined as the percentage of new molecular entities (NMEs) successfully transitioning from that phase to start of the next phase (or registration in the case of Phase III) divided by the total number of outcomes in that phase in any given year. Peer benchmarks were calculated using a similar methodology. The 2021-as-of-end-of-Q3 data point represents either the 3-year rolling average from October 1, 2018 through September 30, 2021 for Phase I outcomes, or the 5-year rolling average from October 1, 2016 through September 30, 2021 for outcomes of later phases. (b) Success rates of Phase I NMEs. The Phase I success rate was defined as transition from Phase I to Phase II and calculated using 3-year rolling averages. Sample sizes for Phase I were: NÂ =Â 36 (2016), NÂ =Â 40 (2017), NÂ =Â 42 (2018), NÂ =Â 36 (2019), NÂ =Â 25 (2020), and NÂ =Â 23 (2021 as of end of Q3). (c) Success rates of Phase II NMEs. The Phase II success rate was defined as transition from Phase II to Phase III and calculated using 5-year rolling averages. Sample sizes for Phase II were: NÂ =Â 34 (2016), NÂ =Â 34 (2017), NÂ =Â 32 (2018), NÂ =Â 33 (2019), NÂ =Â 25 (2020), NÂ =Â 25 (2021 as of end of Q3). (d) Cumulative success rates of Phase III and Approval NMEs. Cumulative success rate of Phase III and Approval NMEs was calculated as the product of Phase III and Approval success rates. The Phase III success rate was defined as the transition from Phase III to first regulatory submission in a major market. Approval success rate was defined as the transition from registration to Approval. All were calculated using 5-year rolling averages. Sample sizes for Phase III were: NÂ =Â 9 (2016), NÂ =Â 8 (2017), NÂ =Â 9 (2018), NÂ =Â 9 (2019), NÂ =Â 13 (2020), NÂ =Â 12 (2021 as of end of Q3); and for registration were: NÂ =Â 7 (2016), NÂ =Â 6 (2017), NÂ =Â 9 (2018), NÂ =Â 8 (2019), NÂ =Â 8 (2020), NÂ =Â 10 (2021 as of end of Q3). To declare success at each stage, the program needed to meet both technical and strategic thresholds. The latter was met, wherever feasible, when the overall efficacy/safety profile was superior to the most relevant standard of care (a higher bar than placebo). Specifically, for declaration of proof of concept (POC), which often coincides with the conclusion of Phase II studies, the program needed to meet criteria for starting Phase III development, including the potential of breakthrough value to patients, filling unmet needs, as well as assessment of commercial value, competitive landscape, resources required, and risks.",
PMC8719639,gr2_lrg.jpg,"Percentage of new molecular entities (NMEs) with at least one regulatory expedited designation, from 2016 to 2020. Regulatory designations include Breakthrough Therapy, Priority Review, Fast Track, and Accelerated Approval. This was calculated using a 5-year rolling average and excluded designations from the US Food and Drug Administration (FDA) Center for Biologics Evaluation and Research (CBER) to be consistent. As a result, Comirnaty vaccine for COVID-19 was excluded from this analysis. Data from Pfizer internal tracking and FDA Center for Drug Evaluation and Research.",
PMC8719639,gr3_lrg.jpg,"Pfizerâs new molecular entities (NMEs) versus product extensions (PE) success rates for Phase II, Phase III, and Approval from 2016 to 2020. Success rates are defined as in Fig. 1, for NME and PE cohorts separately. N is the total number of NME or PE programs for that stage within the time period analyzed. These were calculated using 5-year rolling averages. Data from Pfizer pipeline analysis.",
PMC8719639,gr4_lrg.jpg,"Title. (a) Final analysis of endoscopic improvement at Week 14 between a single-arm Phase IIa study of tumor necrosis factor Î±-like ligand 1A (TL1A) and a propensity score matched population from tofacitinib Phase III studies. Graph is for illustrative purposes rather than a head-to-head study, no direct comparisons can be made, propensity score weighted analysis. Endoscopic improvementÂ =Â Mayo ScoreÂ <Â 1. Data on file, interpolated endoscopic improvement at week 14, data longitudinally modeled from week 8 induction data to week 14 based on month 2 and month 12 extension data. (b) Analysis of a potential biomarker-driven patient selection strategy to improve efficacy based on a Phase IIa study of TL1A. Biomarkers were undisclosed. (c) Timeline of our âlightspeedâ journey to achieve the first approval of coronavirus 2019 (COVID-19) vaccine.",
PMC9127978,nihms-1804958-f0001.jpg,"Delayed resolution of inflammation, autoimmunity and viral persistence represents overlapping mechanisms that may contribute to the pathogenesis of post-COVID-19 syndromes. Strategies to better characterize patients with post-COVID-19 syndromes are indicated. ITP, idiopathic thrombocytopenic purpura; OXPHOS, oxidative phosphorylation; PDCs, plasmacytoid dendritic cells; ROS, reactive oxygen species; TGF-Î², transforming growth factor-Î².",
PMC8391798,cr1c00107_0001.jpg,"Heatmaps illustrating the extent that
ML terms appear in scientific
papers aligned by American Chemical Society (ACS) technical divisions
from 2000 to 2010 (a) and from 2010âpresent (b). (c) Line graph
showing the number of occurrences of any ML term being found in papers
attributed to the ACS PHYS division, from 2000âpresent. Figures
were made by Charles D. Griego. Python scripts used to generate these
figures and corresponding Table 1 are freely available with a creative commons attribution
license. Readers are welcome to use, adapt, and share these scripts
with appropriate attribution: .).",
PMC8391798,cr1c00107_0002.jpg,"Dataâknowledgeâwisdom
hierarchy stepladder.",
PMC8391798,cr1c00107_0003.jpg,"Hierarchy of computational methods and
corresponding time and length
scales. QM stands for Quantum Mechanics.",
PMC8391798,cr1c00107_0004.jpg,"Potential energy surface
(PES) of a fictional system with the two
coordinates R1 and R2. The minima of the PES correspond to stable states of a system,
such as equilibrium configurations and reactants or products. Minima
can be connected by paths (red line), along which rearrangements and
reactions can occur. The maximum along such a path is called a transition
state. Transition states are first-order saddle points, a maximum
in one coordinate and minima in all others. They correspond to the
minimum energy required to transition between two PES minima and play
a crucial role in the description of chemical transformations.",
PMC8391798,cr1c00107_0005.jpg,"(a) âMagic cubeâ depiction
of hierarchies of correlated wavefunction approaches. (b) âJacobâs
Ladderâ depiction of hierarchies
of KohnâSham density functional theory (DFT) approaches. (c)
Hierarchies of atomistic potentials. (d) Overall hierarchies in predictive
atomic scale modeling methods.",
